"pattern","path","line","text"
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\.claude\settings.local.json","6","""Bash(ffmpeg -version)"","
"\bffmpeg\b","C:\Users\Erik\Desktop\Generador_videos\.claude\settings.local.json","7","""Bash(where ffmpeg:*)"","
"\bnpm\s+run\b","C:\Users\Erik\Desktop\Generador_videos\.claude\settings.local.json","11","""Bash(npm run:*)"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\.claude\settings.local.json","73","""Bash(ffprobe -v quiet -show_format /c/Users/Erik/Desktop/Generador_videos/output/51ef6963-d243-4a17-9bec-b048a0c3a8cb/voice.wav)"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\.claude\settings.local.json","74","""Bash(ffprobe *)"","
"\bpowershell\b","C:\Users\Erik\Desktop\Generador_videos\.claude\settings.local.json","88","""command"": ""powershell -File 'C:/Users/Erik/Desktop/Generador_videos/.claude/make-zip.ps1'"","
"\bpowershell\b","C:\Users\Erik\Desktop\Generador_videos\.claude\settings.local.json","89","""shell"": ""powershell"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\011afc61-dc59-4b74-8270-fd557fb9a861.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\02dc66e4-aac1-4cda-a337-f487e3767b54.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\170762c2-c003-416f-9a3f-1226b2142f7f.json","27","""provider"": ""kokoro"","
"\bffprobe\b","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\170762c2-c003-416f-9a3f-1226b2142f7f.json","619","""duration 46.6s outside [8-45s] (source: ffprobe)"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\17c41afd-4189-4f91-8f79-e816c1785cd7.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\188704f5-fa09-4c01-b009-c327fdcfef12.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\1f2e8cb9-c93f-4654-beef-4e24ad0ac88e.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\27409e95-babb-4c6a-b062-1f3d4bba1159.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\2d51fa32-69d4-49a3-8157-821707ee38c3.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\2f2bff7d-9b42-4a61-afb2-6188d658b2dc.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\3292fa59-99d4-4b62-881b-f39ffff5190b.json","27","""provider"": ""kokoro"","
"kokoro","C:\Users\Erik\Desktop\Generador_videos\archive\queue-cleaned\35581999-d65d-4d9c-b1ac-886cf4ed0d9d.json","27","""provider"": ""kokoro"","
